Date,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
1/12/2018,0,-4.3,55,1.6,1247,-12.7,0,0,0,Winter,Holiday,Yes
1/12/2018,1,-4.8,57,1.2,1219,-12.7,0,0,0,Winter,Holiday,Yes
1/12/2018,2,-5.5,56,1.4,1285,-12.9,0,0,0,Winter,Holiday,Yes
1/12/2018,3,-5.6,50,1,1367,-13,0,0,0,Winter,Holiday,Yes
1/12/2018,4,-5.9,51,1.1,1260,-12.2,0,0,0,Winter,Holiday,Yes
1/12/2018,5,-6.1,59,1,1231,-11.8,0,0,0,Winter,Holiday,Yes
1/12/2018,6,-6.5,56,0.7,1175,-11.6,0,0,0,Winter,Holiday,Yes
1/12/2018,7,-6.6,52,1,1320,-12,0,0,0,Winter,Holiday,Yes
1/12/2018,8,-6.5,56,1.1,1503,-12.5,0,0,0,Winter,Holiday,Yes
1/12/2018,9,-5.8,53,1.4,1728,-14.8,0,0,0,Winter,Holiday,Yes
1/12/2018,10,-3.5,54,2,1946,-15.4,0,0,0,Winter,Holiday,Yes
1/12/2018,11,-1.6,44,2.1,1812,-15.1,0,0,0,Winter,Holiday,Yes
1/12/2018,12,0,42,2.3,1672,-13.6,0,0,0,Winter,Holiday,Yes
1/12/2018,13,0.9,46,2.4,1895,-15.6,0,0,0,Winter,Holiday,Yes
1/12/2018,14,1.8,47,2,1693,-14.3,0,0,0,Winter,Holiday,Yes
1/12/2018,15,2.3,45,2.2,1877,-14.8,0,0,0,Winter,Holiday,Yes
1/12/2018,16,2.7,42,2.2,1811,-14.4,0,0,0,Winter,Holiday,Yes
1/12/2018,17,1.1,47,1.7,1989,-14.1,0,0,0,Winter,Holiday,Yes
1/12/2018,18,-0.6,47,1.6,1797,-13.5,0,0,0,Winter,Holiday,Yes
1/12/2018,19,-1.2,44,1.2,1663,-14,0,0,0,Winter,Holiday,Yes
1/12/2018,20,-2.1,41,1.1,1578,-13.6,0,0,0,Winter,Holiday,Yes
1/12/2018,21,-2.5,45,0.8,1495,-12.2,0.16,0,0,Winter,Holiday,Yes
1/12/2018,22,-2.6,44,1.6,1492,-12.3,0.54,0,0,Winter,Holiday,Yes
1/12/2018,23,-3.2,45,0.8,1429,-12.1,0.87,0,0,Winter,Holiday,Yes
2/12/2018,0,-3.8,41,0.7,1574,-13.2,1.07,0,0,Winter,Holiday,Yes
2/12/2018,1,-3.9,50,0.2,1535,-12.5,1.18,0,0,Winter,Holiday,Yes
2/12/2018,2,-4.4,32,0.3,1594,-12.5,1.14,0,0,Winter,Holiday,Yes
2/12/2018,3,-4.8,34,0.6,1505,-12.2,0.92,0,0,Winter,Holiday,Yes
2/12/2018,4,-5.1,36,0.7,1377,-11.6,0.64,0,0,Winter,Holiday,Yes
2/12/2018,5,-5.6,39,0.7,1350,-12.5,0.26,0,0,Winter,Holiday,Yes
